feature,mean_abs_shap
ETFB,0.0
ETFDH,0.0
ETHE1,0.0
ETNK1,0.0
ETS1,0.0
ETS2,0.0
ESPL1,0.0
G6PC3,0.0
GAB1,0.0
GABARAP,0.0
GABARAPL2,0.0
GABBR1,0.0
GABPA,0.0
GABPB1,0.0
GADD45A,0.0
GADD45GIP1,0.0
GAK,0.0
GALE,0.0
FBXL20,0.0
GALNS,0.0
GALNT1,0.0
GALNT11,0.0
GALNT7,0.0
GALT,0.0
GAMT,0.0
GAN,0.0
GANAB,0.0
GAPDH,0.0
GAPVD1,0.0
GAR1,0.0
GARS,0.0
GALK2,0.0
FRG1,0.0
FRMD8,0.0
FRS2,0.0
FRYL,0.0
FTH1,0.0
FTO,0.0
FTSJ1,0.0
FTSJ3,0.0
FUBP1,0.0
FUBP3,0.0
FUNDC1,0.0
G3BP2,0.0
FUS,0.0
FUT10,0.0
FUT8,0.0
FXN,0.0
FXR1,0.0
FXYD5,0.0
FYCO1,0.0
FYN,0.0
FYTTD1,0.0
FZD6,0.0
G2E3,0.0
G3BP1,0.0
FUNDC2,0.0
GEMIN2,0.0
GEMIN5,0.0
GEMIN6,0.0
GEMIN7,0.0
IFT20,0.0
GEN1,0.0
GFER,0.0
GFM1,0.0
GFM2,0.0
GFOD2,0.0
GFPT1,0.0
GART,0.0
GGA2,0.0
GGA3,0.0
GGCT,0.0
GGCX,0.0
GGH,0.0
GGNBP2,0.0
GGPS1,0.0
GHITM,0.0
GIGYF1,0.0
GIGYF2,0.0
GIN1,0.0
GINS1,0.0
GGA1,0.0
GAS2L3,0.0
GAS7,0.0
GATAD1,0.0
GATAD2A,0.0
GATAD2B,0.0
GATC,0.0
GBA,0.0
GBA2,0.0
GBE1,0.0
GBF1,0.0
GCAT,0.0
GDPD1,0.0
GCDH,0.0
GCFC2,0.0
GCLC,0.0
GCLM,0.0
GCNT1,0.0
GCSH,0.0
GDAP1,0.0
GDAP2,0.0
GDE1,0.0
GDF11,0.0
GDI1,0.0
GDI2,0.0
GCC2,0.0
